,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,87
,A02,SYBR,,Std-01,,87
,A03,SYBR,,Std-01,,87
,A04,SYBR,,Unkn-01,,87.5
,A05,SYBR,,Unkn-01,,87.5
,A06,SYBR,,Unkn-01,,87.5
,A07,SYBR,,Unkn-09,,87.5
,A08,SYBR,,Unkn-09,,87.5
,A09,SYBR,,Unkn-09,,87.5
,A10,SYBR,,Unkn-17,,87.5
,A11,SYBR,,Unkn-17,,87.5
,A12,SYBR,,Unkn-17,,87.5
,B01,SYBR,,Std-02,,86.5
,B02,SYBR,,Std-02,,86.5
,B03,SYBR,,Std-02,,86.5
,B04,SYBR,,Unkn-02,,87
,B05,SYBR,,Unkn-02,,87
,B06,SYBR,,Unkn-02,,87
,B07,SYBR,,Unkn-10,,87.5
,B08,SYBR,,Unkn-10,,87.5
,B09,SYBR,,Unkn-10,,87.5
,B10,SYBR,,Unkn-18,,87.5
,B11,SYBR,,Unkn-18,,87.5
,B12,SYBR,,Unkn-18,,87.5
,C01,SYBR,,Std-03,,86.5
,C02,SYBR,,Std-03,,86.5
,C03,SYBR,,Std-03,,86.5
,C04,SYBR,,Unkn-03,,87.5
,C05,SYBR,,Unkn-03,,87.5
,C06,SYBR,,Unkn-03,,87.5
,C07,SYBR,,Unkn-11,,87.5
,C08,SYBR,,Unkn-11,,87.5
,C09,SYBR,,Unkn-11,,87
,C10,SYBR,,Unkn-19,,87
,C11,SYBR,,Unkn-19,,87
,C12,SYBR,,Unkn-19,,87
,D01,SYBR,,Std-04,,86.5
,D02,SYBR,,Std-04,,86.5
,D03,SYBR,,Std-04,,86.5
,D04,SYBR,,Unkn-04,,87.5
,D05,SYBR,,Unkn-04,,87.5
,D06,SYBR,,Unkn-04,,87.5
,D07,SYBR,,Unkn-12,,87.5
,D08,SYBR,,Unkn-12,,87.5
,D09,SYBR,,Unkn-12,,87.5
,D10,SYBR,,Unkn-20,,87
,D11,SYBR,,Unkn-20,,87
,D12,SYBR,,Unkn-20,,87
,E01,SYBR,,Std-05,,86.5
,E02,SYBR,,Std-05,,86.5
,E03,SYBR,,Std-05,,86.5
,E04,SYBR,,Unkn-05,,87
,E05,SYBR,,Unkn-05,,87
,E06,SYBR,,Unkn-05,,87
,E07,SYBR,,Unkn-13,,87.5
,E08,SYBR,,Unkn-13,,87.5
,E09,SYBR,,Unkn-13,,87.5
,E10,SYBR,,Unkn-21,,86.5
,E11,SYBR,,Unkn-21,,86.5
,E12,SYBR,,Unkn-21,,87
,F01,SYBR,,Std-06,,86.5
,F02,SYBR,,Std-06,,86.5
,F03,SYBR,,Std-06,,86.5
,F04,SYBR,,Unkn-06,,87.5
,F05,SYBR,,Unkn-06,,87.5
,F06,SYBR,,Unkn-06,,87.5
,F07,SYBR,,Unkn-14,,87
,F08,SYBR,,Unkn-14,,87
,F09,SYBR,,Unkn-14,,87
,F10,SYBR,,Unkn-22,,87
,F11,SYBR,,Unkn-22,,87
,F12,SYBR,,Unkn-22,,87
,G01,SYBR,,Std-07,,87
,G02,SYBR,,Std-07,,87
,G03,SYBR,,Std-07,,87
,G04,SYBR,,Unkn-07,,87
,G05,SYBR,,Unkn-07,,87
,G06,SYBR,,Unkn-07,,87
,G07,SYBR,,Unkn-15,,87.5
,G08,SYBR,,Unkn-15,,87.5
,G09,SYBR,,Unkn-15,,87.5
,G10,SYBR,,Unkn-23,,87
,G11,SYBR,,Unkn-23,,87
,G12,SYBR,,Unkn-23,,87
,H01,SYBR,,NTC,,87
,H02,SYBR,,NTC,,87.5
,H03,SYBR,,NTC,,87
,H04,SYBR,,Unkn-08,,87.5
,H05,SYBR,,Unkn-08,,87.5
,H06,SYBR,,Unkn-08,,87.5
,H07,SYBR,,Unkn-16,,87
,H08,SYBR,,Unkn-16,,87
,H09,SYBR,,Unkn-16,,87
,H10,SYBR,,Unkn-23,,87
,H11,SYBR,,Unkn-23,,87
,H12,SYBR,,Unkn-23,,87
