,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,91
,A02,SYBR,,Std-01,,91
,A03,SYBR,,Std-01,,91
,A04,SYBR,,Unkn-01,,90
,A05,SYBR,,Unkn-01,,90
,A06,SYBR,,Unkn-01,,90
,A07,SYBR,,Unkn-09,,89.5
,A08,SYBR,,Unkn-09,,89.5
,A09,SYBR,,Unkn-09,,89.5
,A10,SYBR,,Unkn-17,,91
,A11,SYBR,,Unkn-17,,91
,A12,SYBR,,Unkn-17,,91
,B01,SYBR,,Std-02,,91
,B02,SYBR,,Std-02,,91
,B03,SYBR,,Std-02,,91
,B04,SYBR,,Unkn-02,,90
,B05,SYBR,,Unkn-02,,90
,B06,SYBR,,Unkn-02,,90
,B07,SYBR,,Unkn-10,,91.5
,B08,SYBR,,Unkn-10,,91.5
,B09,SYBR,,Unkn-10,,91.5
,B10,SYBR,,Unkn-18,,91
,B11,SYBR,,Unkn-18,,91
,B12,SYBR,,Unkn-18,,91.5
,C01,SYBR,,Std-03,,91
,C02,SYBR,,Std-03,,91
,C03,SYBR,,Std-03,,91
,C04,SYBR,,Unkn-03,,89.5
,C05,SYBR,,Unkn-03,,89.5
,C06,SYBR,,Unkn-03,,89.5
,C07,SYBR,,Unkn-11,,91
,C08,SYBR,,Unkn-11,,91
,C09,SYBR,,Unkn-11,,91
,C10,SYBR,,Unkn-19,,91.5
,C11,SYBR,,Unkn-19,,91.5
,C12,SYBR,,Unkn-19,,91.5
,D01,SYBR,,Std-04,,90.5
,D02,SYBR,,Std-04,,90.5
,D03,SYBR,,Std-04,,90.5
,D04,SYBR,,Unkn-04,,91.5
,D05,SYBR,,Unkn-04,,91.5
,D06,SYBR,,Unkn-04,,91.5
,D07,SYBR,,Unkn-12,,91
,D08,SYBR,,Unkn-12,,91
,D09,SYBR,,Unkn-12,,91
,D10,SYBR,,Unkn-20,,91
,D11,SYBR,,Unkn-20,,91.5
,D12,SYBR,,Unkn-20,,91.5
,E01,SYBR,,Std-05,,90.5
,E02,SYBR,,Std-05,,90.5
,E03,SYBR,,Std-05,,90.5
,E04,SYBR,,Unkn-05,,91
,E05,SYBR,,Unkn-05,,91
,E06,SYBR,,Unkn-05,,91
,E07,SYBR,,Unkn-13,,89.5
,E08,SYBR,,Unkn-13,,89.5
,E09,SYBR,,Unkn-13,,89.5
,E10,SYBR,,Unkn-21,,91
,E11,SYBR,,Unkn-21,,91
,E12,SYBR,,Unkn-21,,91
,F01,SYBR,,Std-06,,90.5
,F02,SYBR,,Std-06,,90.5
,F03,SYBR,,Std-06,,90.5
,F04,SYBR,,Unkn-06,,91
,F05,SYBR,,Unkn-06,,91
,F06,SYBR,,Unkn-06,,91
,F07,SYBR,,Unkn-14,,90
,F08,SYBR,,Unkn-14,,90
,F09,SYBR,,Unkn-14,,90
,F10,SYBR,,Unkn-22,,91.5
,F11,SYBR,,Unkn-22,,91.5
,F12,SYBR,,Unkn-22,,91.5
,G01,SYBR,,Std-07,,90.5
,G02,SYBR,,Std-07,,90.5
,G03,SYBR,,Std-07,,90.5
,G04,SYBR,,Unkn-07,,89.5
,G05,SYBR,,Unkn-07,,89.5
,G06,SYBR,,Unkn-07,,89.5
,G07,SYBR,,Unkn-15,,89
,G08,SYBR,,Unkn-15,,89
,G09,SYBR,,Unkn-15,,89
,G10,SYBR,,Unkn-23,,91
,G11,SYBR,,Unkn-23,,91
,G12,SYBR,,Unkn-23,,91
,H01,SYBR,,NTC,,None
,H02,SYBR,,NTC,,None
,H03,SYBR,,NTC,,None
,H04,SYBR,,Unkn-08,,90
,H05,SYBR,,Unkn-08,,89.5
,H06,SYBR,,Unkn-08,,89.5
,H07,SYBR,,Unkn-16,,91.5
,H08,SYBR,,Unkn-16,,91.5
,H09,SYBR,,Unkn-16,,91.5
,H10,SYBR,,Unkn-24,,91
,H11,SYBR,,Unkn-24,,91
,H12,SYBR,,Unkn-24,,91
