,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,,Std-01,,91
,A02,SYBR,,Std-01,,91
,A03,SYBR,,Std-01,,91
,A04,SYBR,,Unkn-01,,90
,A05,SYBR,,Unkn-01,,90.5
,A06,SYBR,,Unkn-01,,90.5
,A07,SYBR,,Unkn-09,,90.5
,A08,SYBR,,Unkn-09,,91
,A09,SYBR,,Unkn-09,,None
,A10,SYBR,,Unkn-17,,91.5
,A11,SYBR,,Unkn-17,,91.5
,A12,SYBR,,Unkn-17,,91.5
,B01,SYBR,,Std-02,,91
,B02,SYBR,,Std-02,,91
,B03,SYBR,,Std-02,,91
,B04,SYBR,,Unkn-02,,90
,B05,SYBR,,Unkn-02,,90
,B06,SYBR,,Unkn-02,,90
,B07,SYBR,,Unkn-10,,90
,B08,SYBR,,Unkn-10,,90
,B09,SYBR,,Unkn-10,,90
,B10,SYBR,,Unkn-18,,91
,B11,SYBR,,Unkn-18,,91
,B12,SYBR,,Unkn-18,,91
,C01,SYBR,,Std-03,,91
,C02,SYBR,,Std-03,,91
,C03,SYBR,,Std-03,,91
,C04,SYBR,,Unkn-03,,89.5
,C05,SYBR,,Unkn-03,,90
,C06,SYBR,,Unkn-03,,90
,C07,SYBR,,Unkn-11,,90
,C08,SYBR,,Unkn-11,,89.5
,C09,SYBR,,Unkn-11,,89.5
,C10,SYBR,,Unkn-19,,91
,C11,SYBR,,Unkn-19,,91
,C12,SYBR,,Unkn-19,,91
,D01,SYBR,,Std-04,,91
,D02,SYBR,,Std-04,,91
,D03,SYBR,,Std-04,,91
,D04,SYBR,,Unkn-04,,90
,D05,SYBR,,Unkn-04,,90
,D06,SYBR,,Unkn-04,,90.5
,D07,SYBR,,Unkn-12,,90
,D08,SYBR,,Unkn-12,,90
,D09,SYBR,,Unkn-12,,90
,D10,SYBR,,Unkn-20,,91
,D11,SYBR,,Unkn-20,,91
,D12,SYBR,,Unkn-20,,91.5
,E01,SYBR,,Std-05,,None
,E02,SYBR,,Std-05,,90.5
,E03,SYBR,,Std-05,,90.5
,E04,SYBR,,Unkn-05,,None
,E05,SYBR,,Unkn-05,,91
,E06,SYBR,,Unkn-05,,91
,E07,SYBR,,Unkn-13,,91.5
,E08,SYBR,,Unkn-13,,91.5
,E09,SYBR,,Unkn-13,,91
,E10,SYBR,,Unkn-21,,90
,E11,SYBR,,Unkn-21,,90
,E12,SYBR,,Unkn-21,,90
,F01,SYBR,,Std-06,,None
,F02,SYBR,,Std-06,,90.5
,F03,SYBR,,Std-06,,90.5
,F04,SYBR,,Unkn-06,,86
,F05,SYBR,,Unkn-06,,90
,F06,SYBR,,Unkn-06,,90
,F07,SYBR,,Unkn-14,,90
,F08,SYBR,,Unkn-14,,90
,F09,SYBR,,Unkn-14,,90
,F10,SYBR,,Unkn-22,,89
,F11,SYBR,,Unkn-22,,90
,F12,SYBR,,Unkn-22,,90
,G01,SYBR,,Std-07,,None
,G02,SYBR,,Std-07,,None
,G03,SYBR,,Std-07,,None
,G04,SYBR,,Unkn-07,,86.5
,G05,SYBR,,Unkn-07,,90
,G06,SYBR,,Unkn-07,,90
,G07,SYBR,,Unkn-15,,90
,G08,SYBR,,Unkn-15,,89.5
,G09,SYBR,,Unkn-15,,89.5
,G10,SYBR,,Unkn-23,,90
,G11,SYBR,,Unkn-23,,90
,G12,SYBR,,Unkn-23,,90
,H01,SYBR,,NTC,,None
,H02,SYBR,,NTC,,None
,H03,SYBR,,NTC,,None
,H04,SYBR,,Unkn-08,,90
,H05,SYBR,,Unkn-08,,90
,H06,SYBR,,Unkn-08,,90
,H07,SYBR,,Unkn-16,,90
,H08,SYBR,,Unkn-16,,90
,H09,SYBR,,Unkn-16,,90
,H10,SYBR,,Unkn-24,,87.5
,H11,SYBR,,Unkn-24,,88
,H12,SYBR,,Unkn-24,,88.5
,H12,SYBR,,Unkn-24,,91
